Date;Prec;Temp;PET;Qobs
2016-12-17;14.75;23.03;4.882117217555042;2.1630384650112866
2016-12-18;22.325;22.93;4.8652195193446985;2.1864360270880363
2016-12-19;11.725;22.5;4.790806296635154;2.209833589164785
2016-12-20;13.475;23.03;4.883615374000926;2.242450564334086
2016-12-21;20.525;22.93;4.866645851150117;2.2576818961625285
2016-12-22;12.15;22.1;4.722441038797425;2.2729132279909705
2016-12-23;3.067;23.5;4.966821010720391;2.278925146726862
2016-12-24;6.9;25.07;5.24084560004188;2.281918103837472
2016-12-25;0.35;24.73;5.181970646787723;2.2789527765237017
2016-12-26;3.6;25.33;5.286914330155824;2.267145101580136
2016-12-27;1.3;25.1;5.247153775670341;2.2467665011286684
2016-12-28;3.475;24.5;5.142854393263733;2.2263879006772007
2016-12-29;8.3;24.63;5.165782517492129;2.206009300225733
2016-12-30;3.975;25.07;5.242727991110695;2.1800543566591424
2016-12-31;1.7;24.47;5.138311913586478;2.151080451467269
2017-01-01;10.55;24.77;5.1906191268228525;2.1221065462753947
2017-01-02;22.825;24.3;5.108826863106573;2.0931326410835216
2017-01-03;2.875;25.6;5.335619166197477;2.0641587358916484
2017-01-04;10.0;25.6;5.335695397397719;2.025965417607224
2017-01-05;10.475;25.17;5.26074497572808;1.9850245598194127
2017-01-06;8.05;25.57;5.330471077850637;1.9440837020316024
2017-01-07;2.45;25.77;5.365268616857152;1.912362257336344
2017-01-08;6.775;24.63;5.166361259902469;1.88093986455982
2017-01-09;4.85;25.4;5.300427227897673;1.8554757562076751
2017-01-10;0.0;26.5;5.491952045982248;1.8358610383747176
2017-01-11;13.025;26.7;5.5264816057897965;1.830284695259594
2017-01-12;7.025;25.53;5.322107144339252;1.8247083521444696
2017-01-13;7.525;24.5;5.142092432002593;1.8219063656884875
2017-01-14;13.275;24.67;5.1711819169878135;1.82468072234763
2017-01-15;0.6;23.8;5.018941661673965;1.8359439277652367
2017-01-16;19.65;24.33;5.110597953833897;1.8500911963882616
2017-01-17;7.925;24.17;5.081925465945846;1.8760461399548527
2017-01-18;54.725;23.57;4.976524272320409;1.9111392325056435
2017-01-19;29.425;23.43;4.951173883559943;1.9462323250564333
2017-01-20;4.55;23.53;4.9675187774629945;1.968976523702032
2017-01-21;14.025;23.63;4.983748196935555;1.9917207223476288
2017-01-22;21.1;23.43;4.947647414505505;2.014464920993228
2017-01-23;11.0;23.37;4.935805810830934;2.0473939503386007
